direction,expiry,strike,entry_datetime,exit_datetime,entry_price,exit_price,quantity,pnl,return_pct,underlying_at_entry,underlying_at_exit
CALL,2025-07-17,25050,2025-07-15 09:22:45,2025-07-15 10:48:47,158.85,162.6,3000,11250.0,0.023607176581680833,25135.65,25161.3
PUT,2025-07-17,25200,2025-07-15 09:37:15,2025-07-15 11:06:48,122.4,68.85,3000,-160650.00000000003,-0.43750000000000006,25131.05,25226.7
PUT,2025-07-17,25150,2025-07-16 09:21:14,2025-07-16 10:54:47,58.6,64.25,3000,16949.999999999996,0.0964163822525597,25158.95,25134.5
CALL,2025-07-17,25150,2025-07-16 09:40:15,2025-07-16 11:18:18,76.8,58.0,3000,-56399.99999999999,-0.24479166666666663,25166.65,25137.55
CALL,2025-07-17,25250,2025-07-16 13:44:53,2025-07-16 14:54:25,45.65,46.7,3000,3150.0000000000127,0.02300109529025201,25214.25,25224.25
PUT,2025-07-24,25050,2025-07-18 09:28:59,2025-07-18 10:37:17,103.55,165.95,3000,187199.99999999997,0.6026074360212457,25065.05,24948.6
CALL,2025-07-24,25100,2025-07-18 09:38:15,2025-07-18 10:59:48,134.0,79.75,3000,-162750.0,-0.4048507462686567,25078.9,24945.3
CALL,2025-07-24,24950,2025-07-18 11:09:18,2025-07-18 12:36:51,157.65,142.25,3000,-46200.000000000015,-0.09768474468759915,24956.6,24935.45
PUT,2025-07-24,24950,2025-07-18 11:40:19,2025-07-18 13:29:22,119.7,108.7,3000,-33000.0,-0.09189640768588136,24953.85,24947.9
PUT,2025-07-24,25050,2025-07-21 10:22:47,2025-07-21 11:34:19,97.3,84.4,3000,-38699.99999999997,-0.13257965056526197,25049.3,25059.2
CALL,2025-07-24,25050,2025-07-21 12:03:50,2025-07-21 13:13:53,111.2,107.5,3000,-11100.00000000001,-0.03327338129496406,25039.6,25043.5
CALL,2025-07-24,25100,2025-07-22 09:49:46,2025-07-22 12:00:50,100.1,74.7,3000,-76199.99999999997,-0.25374625374625365,25123.3,25085.55
CALL,2025-07-24,25000,2025-07-23 09:23:14,2025-07-23 10:34:16,157.0,136.75,3000,-60750.0,-0.12898089171974522,25130.35,25106.1
PUT,2025-07-24,25150,2025-07-23 11:16:18,2025-07-23 13:24:22,62.2,40.15,3000,-66150.00000000001,-0.35450160771704187,25127.65,25145.75
PUT,2025-07-31,24950,2025-07-25 10:05:46,2025-07-25 11:22:49,127.9,155.1,3000,81599.99999999997,0.2126661454261141,24923.2,24886.5
PUT,2025-07-31,24900,2025-07-25 11:40:19,2025-07-25 13:08:52,137.6,146.7,3000,27299.99999999998,0.06613372093023251,24863.95,24861.75
PUT,2025-07-31,24800,2025-07-28 09:24:45,2025-07-28 10:15:46,119.15,69.75,3000,-148200.00000000003,-0.41460344104070507,24781.95,24870.85
PUT,2025-07-31,24650,2025-07-28 13:21:22,2025-07-28 14:45:55,80.3,76.45,3000,-11549.999999999984,-0.04794520547945199,24701.3,24698.5
PUT,2025-07-31,24650,2025-07-29 09:40:15,2025-07-29 10:55:18,73.45,95.4,3000,65850.00000000001,0.29884275017018386,24685.5,24634.1
PUT,2025-07-31,24650,2025-07-29 11:47:19,2025-07-29 13:04:52,73.5,54.35,3000,-57449.99999999999,-0.2605442176870748,24668.7,24708.4
CALL,2025-07-31,24800,2025-07-29 13:42:23,2025-07-29 15:27:26,73.35,102.6,3000,87750.0,0.39877300613496935,24756.0,24841.45
PUT,2025-08-07,24650,2025-08-01 09:31:15,2025-08-01 11:02:17,138.45,92.9,3000,-136649.99999999994,-0.3289996388587937,24683.4,24758.0
PUT,2025-08-07,24650,2025-08-05 09:24:44,2025-08-05 10:54:47,89.6,113.25,3000,70950.00000000001,0.2639508928571429,24685.45,24624.15
CALL,2025-08-07,24650,2025-08-06 09:25:44,2025-08-06 10:35:46,98.25,52.2,3000,-138150.0,-0.4687022900763359,24653.95,24575.65
PUT,2025-08-14,24500,2025-08-12 14:17:53,2025-08-13 09:18:44,66.15,38.25,3000,-83700.00000000001,-0.4217687074829932,24529.7,24581.0
CALL,2025-08-14,24650,2025-08-13 10:06:16,2025-08-13 11:28:48,62.45,48.5,3000,-41850.00000000001,-0.22337870296236995,24600.4,24572.5
PUT,2025-08-21,24850,2025-08-19 09:36:45,2025-08-19 11:37:19,64.15,39.6,3000,-73650.00000000001,-0.3826968043647701,24900.75,24940.1
PUT,2025-09-09,24750,2025-09-08 10:57:18,2025-09-08 12:15:20,39.1,23.0,3000,-48300.00000000001,-0.411764705882353,24782.6,24830.05
