STOP_LOSS_PCT,COOLDOWN,MIN_HOLD_SNAPS,STRIKE_STEP,INITIAL_CAPITAL,LOT_SIZE,initial_capital,final_equity,total_return_pct,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,sharpe_ratio,sortino_ratio,cagr_pct,calmar_ratio,start_date,end_date,num_days
0.1,3,3,50,1000000.0,3000,1000000.0,796600.0000000002,-20.339999999999982,-44.418182585573774,132,42.42424242424242,0.9268134715025906,0.012639306171955573,0.006712495609456855,-47.980871392314064,-0.45792058152793597,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,4,50,1000000.0,3000,1000000.0,532000.0000000005,-46.799999999999955,-57.8683522231909,127,37.79527559055118,0.8458802608180201,-0.09857020954170356,-0.052854388527987774,-83.69706808386833,-0.8087322033898302,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,5,50,1000000.0,3000,1000000.0,1105600.0000000002,10.560000000000013,-38.34769661146956,127,39.37007874015748,1.034014591486689,0.11525940769217549,0.06860667133798369,33.444729258738334,0.2753750794211088,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,6,50,1000000.0,3000,1000000.0,1096750.0000000002,9.675000000000033,-39.48454553792533,127,37.79527559055118,1.0306049822064056,0.11456028628155049,0.06954628959148203,30.397719994785955,0.24503257839721346,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,7,50,1000000.0,3000,1000000.0,953800.0,-4.620000000000002,-46.18321998763501,128,35.15625,0.9862186227571703,0.06661868918649469,0.04249307689011203,-12.710901404458397,-0.10003633356957245,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,8,50,1000000.0,3000,1000000.0,1067200.0,6.719999999999993,-40.35263960094222,127,34.645669291338585,1.0192829165411268,0.10002523797743784,0.06468935283128271,20.55324961451701,0.16653185681174332,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,9,50,1000000.0,3000,1000000.0,1244350.0,24.435000000000006,-40.2561104297978,126,34.12698412698413,1.0699081623894944,0.1520212411459708,0.10259184134458964,87.44177576663344,0.606988597236982,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,10,50,1000000.0,3000,1000000.0,795400.0,-20.46,-56.13293631735664,121,28.92561983471074,0.940201665935993,0.07469877310606957,0.04879018736609233,-48.205766488309095,-0.36449188911704317,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,11,50,1000000.0,3000,1000000.0,152049.99999999994,-84.79500000000002,-84.86311597809856,73,23.28767123287671,0.5812902747944597,-0.29100840680387885,-0.13884001900676188,-99.55432722819624,-0.9991973429526659,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,12,50,1000000.0,3000,1000000.0,265900.0,-73.41,-73.52911896465903,105,24.761904761904763,0.776876082793836,-0.07214509153414456,-0.05006274282218656,-97.77857609046174,-0.9983799756295694,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,13,50,1000000.0,3000,1000000.0,1088650.0,8.86499999999999,-72.36436037829768,115,28.695652173913043,1.0246445102372712,0.16758254274212195,0.13845543458516077,27.64902111981438,0.12250505571605431,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,14,50,1000000.0,3000,1000000.0,878800.0,-12.119999999999997,-71.83491628316851,115,26.08695652173913,0.9675658317276814,0.13395852783360362,0.11252490285840044,-31.017470546796456,-0.16872017992230623,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,15,50,1000000.0,3000,1000000.0,1017850.0,1.7849999999999921,-70.82150200724568,115,27.82608695652174,1.0048108020698578,0.15557690657105935,0.132973430060296,5.21636833127177,0.02520420987142253,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,16,50,1000000.0,3000,1000000.0,713200.0000000002,-28.67999999999997,-75.52375836304147,100,22.0,0.9170642838552963,0.127741664941994,0.11589730447160446,-62.14466762255917,-0.37974805043646903,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,17,50,1000000.0,3000,1000000.0,1067650.0000000002,6.765000000000021,-77.97040582116519,103,24.271844660194176,1.0196180782113184,0.177059257288321,0.16286855475824624,20.69940214543813,0.08676368846298413,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,18,50,1000000.0,3000,1000000.0,962350.0,-3.764999999999996,-80.08109979230541,102,24.509803921568626,0.988767564664817,0.1720412744213999,0.15090399944362207,-10.443126194819797,-0.04701483882919595,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,19,50,1000000.0,3000,1000000.0,1345299.9999999998,34.52999999999997,-73.74957715169383,108,25.925925925925924,1.10096048418929,0.2004030716110015,0.17041390488006267,134.54611477615487,0.46820607430705674,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,3,20,50,1000000.0,3000,1000000.0,1329850.0,32.985,-64.1800159721896,113,25.663716814159294,1.09177413296607,0.1987854314291748,0.1652565411040835,126.88761382047589,0.5139450263504611,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,4,3,50,1000000.0,3000,1000000.0,877900.0,-12.209999999999999,-41.56562265492318,129,42.63565891472868,0.954387537823602,0.031224837747631348,0.016417418136032425,-31.2203153519356,-0.29375236602052446,2025-07-14 15:30:00,2025-11-18 15:30:00,127
0.1,4,4,50,1000000.0,3000,1000000.0,813250.0000000002,-18.674999999999976,-50.34267407437446,127,39.37007874015748,0.9363562007974645,0.017621795396661907,0.010039638883559474,-44.79447186521336,-0.37095764862252256,2025-07-14 15:30:00,2025-11-18 15:30:00,127
